Timestamp,Name,Ticker,Contract Address,Initial Buy In (SOL),Initial Buy In (USD),Initial Market Cap (SOL),Initial Market Cap (USD),Metadata URI,Creator Wallet
2025-11-26T15:02:19.164Z,RageCoin,RAGE,A5pPdFQDgTbKeDgGBhmzdGxjvog6mP7VqCaEejPnpump,81596958.130046,16319391626.01,32.750692,6550.14,https://ipfs.io/ipfs/bafkreig7dnybs3zw55br6tbnepgyipctiev3ewn2jb2tb47o5ld32fzv4u,
2025-11-26T15:02:20.337Z,Trumplican,Trumplican,FDUGftKmfnU2yAwk3ZdUjEUy3bFwcYTKqgGdnWVEpump,93514650.583056,18702930116.61,33.552516,6710.50,https://ipfs.io/ipfs/bafkreibekwyisx7yyefgortpwejl5w6nr3vc67ebf6h5d6llvkk765ndsu,
2025-11-26T15:02:26.687Z,GDOG,GDOG,GAzzq2nety7RtUsDZu4dL9R1F4Qjr484Yuqbx1xSXUKB,153285714.285714,30657142857.14,38.055297,7611.06,http://93.205.10.67:4141/metadata/7pIfP31P,
2025-11-26T15:02:32.439Z,Unknown,UNKNOWN,A8vZhzWsLosrTnseSRcThSkBuZqinYs3Q3SwQeoyQFBH,89912004.189774,17982400837.95,33.305317,6661.06,,
2025-11-26T15:02:35.068Z,Act W : The Wojak Prophecy,ACTW,AqgBxg6Uumj9RjyJ7aVQBUMyzwnU3CtdeFSVQDodpump,47840772.847133,9568154569.43,30.629389,6125.88,https://ipfs.io/ipfs/bafkreidc3nr4vq336forxxj32ch4ikmxuuldphqpo4b5xypiyr5jv7xvfi,
2025-11-26T15:02:35.081Z,Goddess of Wheat,HOLO,G1FnqGbdXyR5NWRTeP5qoo7qZHtvnfs8pCEq8hKcpump,112104477.611941,22420895522.39,34.863312,6972.66,https://metadata.rapidlaunch.io/metadata/6f187e60-366f-41d9-9980-321c1481f99a.json,
2025-11-26T15:02:35.567Z, SolanaPolkadotCardanoEthereum,SPCERSDLAC,4dwcWbrHVhBVD6MTRRFBHQCUTF7PpAKcrSWwyn88pump,34199203.154141,6839840630.83,29.830218,5966.04,https://ipfs.io/ipfs/bafkreicq3dkcxbk7r4tikz2dl23zcukmdcc4h3yont5ir7jvbhinw6pcvy,
2025-11-26T15:02:39.866Z,Trollitoshi Nakamoto,Troll,7kzdpJQHYusS7wc7CWWXptohPenHrLBHG1djPxvGpump,41269238.115384,8253847623.08,30.240448,6048.09,https://ipfs.io/ipfs/bafkreif5f74bfhseleludznvppdgmvudgqbcs535wbabqnqwxzjzacfpcq,
2025-11-26T15:02:43.509Z,Gambling Cult,777,8giqpTKXpJYr7WokpmrpQWEQps2A6tsxdqpjUytKpump,67062500.000000,13412500000.00,31.811121,6362.22,https://metadata.rapidlaunch.io/metadata/13c4bcfc-df19-4723-b1c1-d70954ffd285.json,
2025-11-26T15:02:44.737Z,Grayscale Dogecoin,GDOG,7N5pwEkiaMZbF6yTD4UMPRS92wy4f2LZgVwpdndi7Lae,34612903.225806,6922580645.16,29.853992,5970.80,https://metadata.j7tracker.com/metadata/178674d162d74231.json,
2025-11-26T15:02:45.004Z,Bunny,Bunny,8X3JZeQQ6MwQCYUWEV5AdaFRrKZMogzpb6uKi7qHpump,96449438.144093,19289887628.82,33.754487,6750.90,https://ipfs.io/ipfs/bafkreih5lcnt2s4wgl4vvnfq5bb6422eqbb6eaub2hn7x6ar7lkuici4ta,
2025-11-26T15:02:46.002Z,Gobble,Gobble,AnsiXyxkSmzrdgMJrRu1BYqwfGN4iPvofeiGgU85pump,97545454.545455,19509090909.09,33.830382,6766.08,https://metadata.rapidlaunch.io/metadata/4806768c-f5b9-4051-ac3d-23b27dd5c597.json,
2025-11-26T15:02:46.535Z,Gobble,Gobble,DzuajyZn3djaouMA55PHtQsZEGoL7gGLckGFsL2Cpump,97545454.545455,19509090909.09,33.830382,6766.08,https://metadata.rapidlaunch.io/metadata/4806768c-f5b9-4051-ac3d-23b27dd5c597.json,
2025-11-26T15:03:34.940Z,Trumplican,Trumplican,6EooAAfAgjg2QNHfqAFbS96qWjFCUubVrRp7nDQ9ReKi,82538461.538462,16507692307.69,32.812985,6562.60,https://ipfs.io/ipfs/QmX8eSc69uvbpunCcqR3GfayCh2oWSh81biQ5swdsn7bsf,
